,p,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,1.0,1024.0,768.0,11.244943,11.215963,11.004161,11.095235,11.023542,11.098356,11.032545,11.040447,11.047047,11.034339,11.332927,11.146762,11.062685,11.102016,11.065625,11.059371,11.053196,11.13376,11.020274,11.089413
1,2.0,1024.0,768.0,5.615302,5.677959,5.622593,5.798488,5.934486,5.982111,5.998962,6.034267,5.894757,6.181521,5.831154,5.689507,5.641341,5.724732,5.668108,5.66513,5.599021,5.620354,5.598669,5.618601
2,3.0,1024.0,768.0,3.874416,3.83484,3.865411,3.841854,3.866001,3.914325,3.881783,3.843283,3.838021,3.869671,3.845348,3.923507,3.851869,3.865646,3.856681,3.8419,3.849843,3.909913,3.855771,3.854711
3,4.0,1024.0,768.0,2.976441,2.966146,2.97221,2.982481,2.99589,2.987431,2.982586,2.969827,2.975644,2.971363,2.970603,3.000916,3.050275,2.955678,2.993865,2.965668,3.043231,2.951972,2.973943,2.980539
4,5.0,1024.0,768.0,2.517706,2.466245,2.479467,2.456636,2.504544,2.481942,2.476184,2.494559,2.49439,2.545038,2.509269,2.489901,2.489747,2.527356,2.487464,2.523276,2.50603,2.490207,2.537967,2.481281
5,6.0,1024.0,768.0,2.152032,2.12397,2.125201,2.166773,2.125141,2.152037,2.152769,2.152789,2.140189,2.188512,2.146775,2.167082,2.139859,2.124401,2.152041,2.171641,2.174735,2.157466,2.161833,2.189803
6,7.0,1024.0,768.0,1.885296,1.892064,1.884348,1.908833,1.901582,1.902121,1.883176,1.893133,1.906792,1.895416,1.887412,1.948471,1.92378,1.973417,1.919957,1.911581,1.905812,1.919273,1.917036,1.909428
7,8.0,1024.0,768.0,1.699441,1.712678,1.706953,1.769132,1.728366,1.714171,1.726271,1.728125,1.723068,1.751913,1.741938,1.728466,1.732857,1.723088,1.725741,1.75342,1.788675,1.710081,1.731069,1.715685
8,9.0,1024.0,768.0,1.579483,1.569095,1.572459,1.577341,1.571213,1.582565,1.589724,1.576381,1.570583,1.574697,1.628223,1.625184,1.581976,1.58963,1.584278,1.585769,1.58519,1.582333,1.579167,1.605575
9,10.0,1024.0,768.0,1.450455,1.456865,1.463854,1.469688,1.51842,1.465091,1.461076,1.506698,1.478003,1.466486,1.462034,1.460375,1.470845,1.45722,1.45692,1.471005,1.462217,1.460627,1.477103,1.463496
10,11.0,1024.0,768.0,1.417462,1.362667,1.371521,1.35917,1.367094,1.374504,1.364374,1.397595,1.38031,1.39766,1.362222,1.368444,1.384567,1.503852,1.369665,1.374657,1.432223,1.370516,1.367518,1.388517
11,12.0,1024.0,768.0,1.313083,1.353539,1.309576,1.355692,1.336872,1.29842,1.356285,1.335283,1.339381,1.312793,1.336584,1.291035,1.360298,1.322166,1.301841,1.296991,1.310311,1.327457,1.286636,1.312397
