,p,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,1.0,1024.0,768.0,10.945758,10.974876,10.916277,11.074344,11.031993,10.959995,11.00507,11.03277,10.931413,11.154394,11.144416,10.990155,11.017085,10.952514,10.99346,11.166718,11.006523,10.994436,11.107688,10.978065
1,2.0,1024.0,768.0,5.596708,5.58728,5.584594,5.573415,5.549705,5.606801,5.562349,5.573022,5.553163,5.616947,5.550479,5.646185,5.549179,5.655771,5.587303,5.650603,5.660633,5.610218,5.574942,5.611958
2,3.0,1024.0,768.0,3.815281,3.77917,3.853754,3.800378,3.807328,3.796092,3.85202,3.827441,3.83852,3.794424,3.817148,3.81391,3.833105,3.822799,3.810748,3.819254,3.793488,3.842511,3.865915,3.806098
3,4.0,1024.0,768.0,3.018819,2.920079,2.952584,3.003392,2.938281,2.970333,2.950923,2.946293,3.000424,2.95094,2.967194,2.963325,2.973037,2.964489,2.989191,3.008565,3.066281,3.030534,3.001454,2.93097
4,5.0,1024.0,768.0,2.473875,2.438493,2.469501,2.444351,2.52204,2.482717,2.489258,2.464447,2.448996,2.424172,2.479329,2.479752,2.452195,2.436592,2.529785,2.446895,2.434047,2.461023,2.455083,2.452076
5,6.0,1024.0,768.0,2.100332,2.099531,2.09102,2.133784,2.1195,2.119615,2.120885,2.104599,2.118083,2.107035,2.119219,2.107408,2.110382,2.099534,2.158202,2.113445,2.082086,2.113586,2.116099,2.144063
6,7.0,1024.0,768.0,1.901321,1.868759,1.878419,1.888453,1.889376,1.874974,1.899161,1.891157,1.87312,1.865402,1.909724,1.867713,1.893678,1.870957,1.882119,1.922743,1.878703,1.876788,1.927125,1.881989
7,8.0,1024.0,768.0,1.700881,1.681707,1.682049,1.718687,1.69099,1.688522,1.681679,1.677385,1.699852,1.692355,1.681128,1.752539,1.689403,1.68165,1.695701,1.758405,1.67687,1.708114,1.690069,1.682733
8,9.0,1024.0,768.0,1.571034,1.530755,1.531717,1.563196,1.578744,1.542317,1.558269,1.534469,1.541236,1.539726,1.537947,1.536291,1.55393,1.534099,1.540111,1.546586,1.54083,1.541217,1.539872,1.598183
9,10.0,1024.0,768.0,1.502831,1.530106,1.531297,1.50024,1.504634,1.502153,1.504927,1.520304,1.529285,1.518016,1.534471,1.540078,1.515883,1.552915,1.545581,1.517149,1.525895,1.420389,1.435241,1.424215
10,11.0,1024.0,768.0,1.438125,1.341381,1.329576,1.341924,1.334642,1.340897,1.334949,1.324847,1.343943,1.358063,1.357088,1.33221,1.330353,1.328214,1.328836,1.333199,1.333277,1.349406,1.334454,1.334579
11,12.0,1024.0,768.0,1.307339,1.359342,1.335687,1.38616,1.343437,1.261522,1.325323,1.301748,1.317013,1.261686,1.263423,1.263269,1.266034,1.264692,1.267666,1.319421,1.265769,1.261284,1.265542,1.325317
