,p,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,1.0,512.0,384.0,2.781374,2.729802,2.703996,2.776062,2.740669,2.71747,2.739859,2.760699,2.813372,2.752781,2.705474,2.776326,2.726829,2.731514,2.783417,2.872105,2.719795,2.705948,2.702576,2.817869
1,2.0,724.0,543.0,2.828943,2.811516,2.812527,2.776793,2.8626,2.865557,2.843758,2.846105,2.803492,2.789023,2.799801,2.78735,2.783341,2.780257,2.81068,2.796603,2.833352,2.753193,2.77182,2.790625
2,3.0,886.0,665.0,2.843009,2.858034,2.833667,2.854901,2.870894,2.833383,2.839508,2.83581,2.901919,2.836407,2.842092,2.896415,2.892795,2.851861,2.861912,2.841162,2.839764,2.852784,2.857942,2.831016
3,4.0,1024.0,768.0,2.954249,2.91338,2.939406,2.944309,2.940303,2.949904,2.959305,2.926192,2.968291,2.926305,2.96446,2.933646,2.966064,2.987045,2.970024,2.982901,2.952933,2.947167,2.923834,2.929596
4,5.0,1144.0,858.0,3.022414,2.997424,3.034001,3.340412,3.042807,3.051489,3.012166,3.035863,3.044621,3.006329,3.055177,3.031866,3.025808,3.065514,3.041866,3.043393,3.077506,3.050238,3.085155,3.024522
5,6.0,1254.0,940.0,3.116886,3.125789,3.118383,3.204811,3.206294,3.145754,3.142896,3.10665,3.158311,3.122222,3.126175,3.139095,3.206292,3.144528,3.125698,3.146243,3.162573,3.170909,3.207893,3.169847
6,7.0,1354.0,1015.0,3.284968,3.232149,3.236998,3.248529,3.257479,3.262442,3.26292,3.292738,3.2644,3.269219,3.260277,3.285337,3.26267,3.27873,3.246016,3.249993,3.276348,3.258545,3.255751,3.268013
7,8.0,1448.0,1086.0,3.366965,3.353353,3.33011,3.412174,3.348807,3.330867,3.369235,3.386868,3.359141,3.355162,3.380467,3.345705,3.342047,3.352019,3.387884,3.352731,3.340694,3.354949,3.427255,3.390582
8,9.0,1536.0,1152.0,3.506724,3.459988,3.4427,3.437404,3.475579,3.458122,3.454938,3.524814,3.471374,3.454934,3.439516,3.449359,3.473036,3.484826,3.449868,3.455117,3.441024,3.505775,3.449618,3.462304
9,10.0,1619.0,1214.0,3.568835,3.534796,3.526576,3.537805,3.550372,3.583541,3.598384,3.59111,3.542209,3.563927,3.577172,3.558466,3.589319,3.558042,3.546396,3.547955,3.543364,3.521452,3.559325,3.584652
10,11.0,1698.0,1273.0,3.606287,3.688077,3.659123,3.665723,3.637039,3.670601,3.64746,3.649532,3.620523,3.625679,3.645999,3.68891,3.651154,3.641963,3.626793,3.634802,3.63593,3.691352,3.72834,3.628288
11,12.0,1773.0,1330.0,3.719828,3.780313,3.747647,3.763141,3.740455,3.742003,3.837183,3.72861,3.709894,3.772831,3.744963,3.730425,3.707245,3.78742,3.848754,3.797352,3.744237,3.877261,3.738142,3.773983
