,p,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,1.0,512.0,384.0,2.890892,2.972623,2.822279,2.858033,2.789173,2.751658,2.758731,2.755222,2.758439,2.832268,2.815933,2.760278,2.79244,2.846145,2.825757,2.770226,2.758227,2.74659,2.809832,2.751526
1,2.0,724.0,543.0,2.814407,2.797656,2.819298,2.936656,2.839375,2.892872,2.91943,2.831509,2.793771,2.887862,2.78466,2.837106,2.900859,2.893902,2.940373,2.831173,2.833784,2.786985,2.792595,2.812962
2,3.0,886.0,665.0,2.881774,2.923165,2.92692,2.893332,2.897935,2.932967,2.872139,2.897107,2.87205,2.963183,3.005126,2.996873,3.09595,2.94724,2.988194,2.956798,2.960059,2.932406,2.977018,2.962874
3,4.0,1024.0,768.0,3.013371,2.933285,2.930099,2.982536,2.956866,2.969936,2.983679,2.987861,2.979141,2.984837,2.955872,2.985655,2.966945,3.014087,2.972926,2.942501,2.970085,2.947369,2.959024,2.926587
4,5.0,1144.0,858.0,3.025168,3.030217,3.000064,2.978018,3.01628,3.015041,3.029482,3.080821,3.000784,3.008499,2.997974,2.96142,2.956861,2.964499,2.968065,2.980735,3.002304,2.955997,2.987963,2.979814
5,6.0,1254.0,940.0,3.019825,3.047328,3.043536,3.067731,3.07527,3.051302,3.053455,3.092622,3.087575,3.05981,3.075726,3.110097,3.068727,3.0639,3.109765,3.071875,3.080966,3.077155,3.100262,3.062644
6,7.0,1354.0,1015.0,3.124025,3.155366,3.149067,3.15904,3.174042,3.187658,3.224396,3.178973,3.171878,3.159585,3.20945,3.177426,3.160212,3.220913,3.212744,3.181218,3.159897,3.163931,3.146444,3.214471
7,8.0,1448.0,1086.0,3.301437,3.276626,3.306513,3.379589,3.3028,3.357301,3.298642,3.339213,3.306327,3.269329,3.277526,3.284921,3.275094,3.314771,3.282591,3.281379,3.277046,3.285394,3.28681,3.310117
8,9.0,1536.0,1152.0,3.438339,3.447043,3.510127,3.425685,3.427751,3.411841,3.483996,3.436882,3.398683,3.387027,3.510961,3.397174,3.403927,3.43559,3.387273,3.439574,3.408478,3.403499,3.383469,3.408517
9,10.0,1619.0,1214.0,3.515174,3.503152,3.517472,3.507431,3.500578,3.510372,3.545272,3.491156,3.507226,3.493471,3.504446,3.510027,3.499404,3.513503,3.509955,3.488112,3.505817,3.5222,3.545164,3.569529
10,11.0,1698.0,1273.0,3.621675,3.639044,3.603136,3.585098,3.619473,3.663529,3.597125,3.614765,3.628449,3.624386,3.648954,3.656601,3.599367,3.59544,3.751909,3.667223,3.615045,3.646659,3.61137,3.608367
11,12.0,1773.0,1330.0,3.714014,3.752656,3.732613,3.787481,3.728144,3.870938,3.713176,3.712514,3.688336,3.760685,3.753856,3.817231,3.731309,3.712271,3.706193,4.755451,3.641479,3.691441,3.735721,3.765939
